#ID	Name	SMILES
Hlpr-517-0	Hlpr-517-0	NC1C(O)OC(CO)C(O)C1O
Hlpr-518-1	Hlpr-518-1	O=[N+](O)c1ccc(O)c(Cl)c1
Hlpr-521-1	Hlpr-521-1	O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
Hlpr-523-0	Hlpr-523-0	OCC1OC(O)C(O)CC1O
Hlpr-525-1	Hlpr-525-1	CCCCCCCCCCCC(=O)O
Hlpr-527-0	Hlpr-527-0	OC1COC(O)C(O)C1O
Hlpr-528-1	Hlpr-528-1	COC1OC(COP(=O)(O)O)C(O)C(O)C1O
Hlpr-529-1	Hlpr-529-1	O=C(O)C1OC(OC2C(C(=O)O)OC(O)C(O)C2O)C(O)C(O)C1O
Hlpr-536-0	Hlpr-536-0	OC1COC(OC2COC(O)C(O)C2O)C(O)C1O
Hlpr-540-1	Hlpr-540-1	CC(N)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
Hlpr-541-1	Hlpr-541-1	C=CCc1ccc(O)cc1
Hlpr-543-0	Hlpr-543-0	OC1COC(O)C(F)C1O
Hlpr-543-1	Hlpr-543-1	O=[N+](O)c1ccc(O)c([N+](=O)O)c1
Hlpr-546-1	Hlpr-546-1	O=c1cc(C(F)(F)F)c2ccc(O)cc2o1
Hlpr-549-0	Hlpr-549-0	CCOP(=O)(O)OCC
Hlpr-549-1	Hlpr-549-1	Cc1cc(=O)oc2c(F)c(O)c(F)cc12
Hlpr-550-1	Hlpr-550-1	CCCCC(CC)C(=O)O
Hlpr-552-0	Hlpr-552-0	CC(=O)NC1C(C)OC(O)C(NC(C)=O)C1O
Hlpr-553-1	Hlpr-553-1	OCC(O)CO
Hlpr-554-1	Hlpr-554-1	C[N+](C)(C)CC(O)CC(=O)O
Hlpr-555-1	Hlpr-555-1	CC(C)=CCCC(C)CCO
Hlpr-557-0	Hlpr-557-0	O=c1ccc2ccc(O)cc2o1
Hlpr-557-1	Hlpr-557-1	CCCCC(=O)O
Hlpr-558-1	Hlpr-558-1	Oc1cccc2ccccc12
Hlpr-559-1	Hlpr-559-1	CCOP(=O)(O)O
Hlpr-560-0	Hlpr-560-0	O=[N+](O)c1ccccc1O
Hlpr-561-0	Hlpr-561-0	Cc1cn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]c1=O
Hlpr-565-1	Hlpr-565-1	OCC(O)C(O)C(O)C(O)CO
Hlpr-567-1	Hlpr-567-1	COc1cc(C=CC(=O)O)ccc1O
Hlpr-569-0	Hlpr-569-0	CCC=CCCO
Hlpr-571-1	Hlpr-571-1	O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1
Hlpr-572-0	Hlpr-572-0	CCC(=O)O
Hlpr-573-0	Hlpr-573-0	CC(=O)NC1C(NC(=O)CC(N)C(=O)O)OC(CO)C(O)C1O
Hlpr-577-1	Hlpr-577-1	Oc1ccc2ccccc2c1
Hlpr-581-0	Hlpr-581-0	CCCCCCCCCCCCCCCCO
